"日付","銘柄名","コード","業種","JPX日経400に占める個別銘柄のウェイト"
"2022/08/31","メイテック","9744","サービス業","0.0459%"
"2022/08/31","ＮＳＤ","9759","情報・通信業","0.0424%"
"2022/08/31","コナミグループ","9766","情報・通信業","0.1385%"
"2022/08/31","イオンディライト","9787","サービス業","0.0172%"
"2022/08/31","日鉄物産","9810","卸売業","0.0177%"
"2022/08/31","ニトリホールディングス","9843","小売業","0.2872%"
"2022/08/31","ミスミグループ本社","9962","卸売業","0.2342%"
"2022/08/31","ファーストリテイリング","9983","小売業","0.5925%"
"2022/08/31","ソフトバンクグループ","9984","情報・通信業","1.5207%"
"2022/08/31","サンドラッグ","9989","小売業","0.0693%"
"本資料は日経ならびにＪＰＸ総研の著作物であり、本資料の全部又は一部を、いかなる形式によっても日経ならびにＪＰＸ総研に無断で複写、複製、転載または流布することができません。"
